kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
HAR,KB27,344102,1343854,WT,1986,2,20,14:10,CL,3802,7,4.5,U,2,6.9,8.1,9.9,32.08,0.6,1,1.5,0.11,0.029,-,-,-,-,-,-,B,24.6,6.9,8.1,-,32.08,4,1,1.4,0.23,0.032,-,-,-,-,-,-
HAR,KB28,343642,1343854,WT,1986,3,4,13:53,CL,3802,5,3,U,2,7.2,8.3,9.2,32.23,0.5,-,-,-,-,-,-,-,-,-,-,B,35.1,6.8,8.3,10.1,32.3,0.8,-,-,-,-,-,-,-,-,-,-
HAR,KB29,343222,1343854,WT,1986,3,4,10:16,CL,3502,4,3,U,2,6.7,8.1,10.1,31.64,1.7,1,0.8,0.1,0.033,-,-,-,-,-,-,B,28.4,6.7,8.1,9.9,31.72,1.5,3,0.7,0.07,0.037,-,-,-,-,-,-
HAR,KB30,342802,1343854,WT,1986,2,22,11:21,CL,3802,6,4,U,2,7.1,8.1,10,-,0.5,-,-,-,-,-,-,-,-,-,-,B,31.2,6.8,8.1,9.9,-,0.8,-,-,-,-,-,-,-,-,-,-
HAR,KB31,342342,1343854,WT,1986,2,22,13:21,CL,3802,6.5,3.5,U,2,7.3,8.4,9.3,32.74,1,2,1.2,0.17,0.034,-,-,-,-,-,-,B,31.2,6.9,-,9.1,32.74,2.8,2,1.3,0.13,0.027,-,-,-,-,-,-
HAR,KB32,341922,1343854,WT,1986,2,22,13:52,CL,3702,7,6.5,U,2,7.9,-,9.2,-,0.1,-,-,-,-,-,-,-,-,-,-,B,37.4,7.7,-,9.3,-,0.6,-,-,-,-,-,-,-,-,-,-
HAR,KB33,344452,1343340,WT,1986,2,20,13:13,CL,3502,7,4,U,2,6.8,8.3,10.4,32.74,0.9,2,0.9,0.12,0.041,-,-,-,-,-,-,B,14.1,6.6,8.2,11.7,32.96,1.3,2,1.2,0.1,0.027,-,-,-,-,-,-
HAR,KB34,344102,1343340,WT,1986,2,20,13:40,CL,3702,8,4.5,U,2,7,8.1,9.5,32.01,0.3,-,-,-,-,-,-,-,-,-,-,B,29.9,6.9,8.1,11.5,32.74,0.5,-,-,-,-,-,-,-,-,-,-
HAR,KB35,343642,1343340,WT,1986,3,4,11:17,CL,3502,4,3.8,U,2,6.2,8.1,10.4,31.64,0.8,1,1,0.07,0.03,-,-,-,-,-,-,B,39.4,6.5,8.1,10.2,31.72,1,2,0.7,0.08,0.03,-,-,-,-,-,-
HAR,KB36,343222,1343340,WT,1986,3,4,10:46,CL,3502,4,4,U,2,6.8,8.1,10.1,31.79,0.9,-,-,-,-,-,-,-,-,-,-,B,38.2,7,8.1,9.8,32.01,2.6,-,-,-,-,-,-,-,-,-,-
HAR,KB37,342802,1343340,WT,1986,2,22,10:51,CL,3802,5,4,U,2,7,8.1,9.8,31.2,0.8,1,1.1,0.07,0.037,-,-,-,-,-,-,B,41.1,6.9,-,9.8,31.42,1.6,1,0.5,0.11,0.024,-,-,-,-,-,-
HAR,KB38,342342,1343340,WT,1986,2,26,13:25,CL,3702,5,4,U,2,7.6,8.2,9.8,-,0.5,-,-,-,-,-,-,-,-,-,-,B,41,7.3,8.1,9.5,-,3.3,-,-,-,-,-,-,-,-,-,-
HAR,KB39,341922,1343340,WT,1986,2,26,11:11,CL,3702,4,5,U,2,7.4,-,9.6,31.57,0.3,4,1.2,0.09,0.039,-,-,-,-,-,-,B,37.3,7.3,8.3,9.5,31.64,0.6,1,1.6,0.13,0.059,-,-,-,-,-,-
HAR,KB40,341502,1343340,WT,1986,2,26,10:44,CL,3702,4,5,U,2,7.4,8.1,9.5,31.79,0.7,-,-,-,-,-,-,-,-,-,-,B,37.2,7.3,8.3,9.6,31.94,0.8,-,-,-,-,-,-,-,-,-,-
HAR,KB41,344422,1342826,WT,1986,2,25,16:24,UC,-,5,4.2,U,2,5.9,8.1,10.8,-,3.3,-,-,-,-,-,-,-,-,-,-,B,9.7,5.9,8.1,10.8,-,3.7,-,-,-,-,-,-,-,-,-,-
HAR,KB42,344102,1342826,WT,1986,2,25,15:57,UC,3702,5,4.2,U,2,6.7,-,10.7,31.57,0.7,3,3.5,0.15,0.07,-,-,-,-,-,-,B,28.4,6.5,-,10.5,31.64,2.8,3,1.9,0.19,0.042,-,-,-,-,-,-
HAR,KB43,343712,1342826,WT,1986,2,25,14:27,CL,3702,6,3.5,U,2,6.9,-,10.4,31.79,0.7,-,-,-,-,-,-,-,-,-,-,B,36.7,6.9,-,10.2,31.86,0.9,-,-,-,-,-,-,-,-,-,-
HAR,KB44,343222,1342826,WT,1986,2,25,14:51,CL,3802,5,3,U,2,7.2,-,9.9,31.94,1,1,0.8,0.14,0.055,-,-,-,-,-,-,B,41.6,7,-,9.7,32.08,1.7,2,0.7,0.16,0.04,-,-,-,-,-,-
HAR,KB45,342802,1342826,WT,1986,2,25,10:23,CL,3802,5,2.5,U,2,7,8.4,9.1,32.16,0.6,-,-,-,-,-,-,-,-,-,-,B,42.1,6.9,8.4,8.9,32.23,1.2,-,-,-,-,-,-,-,-,-,-
HAR,KB46,342342,1342826,WT,1986,2,26,9:13,CL,3802,4,5.5,U,2,6.7,8.2,9.6,31.64,0.1,1,1.6,0.13,0.032,-,-,-,-,-,-,B,40.4,6.9,8.1,9.8,31.72,1.7,2,1.3,0.1,0.057,-,-,-,-,-,-
HAR,KB47,341922,1342826,WT,1986,2,26,9:44,CL,3702,5,5,U,2,7,8.2,9.8,31.64,0.1,-,-,-,-,-,-,-,-,-,-,B,36,6.6,8.2,10,31.79,4.1,-,-,-,-,-,-,-,-,-,-
HAR,KB48,341502,1342826,WT,1986,2,26,10:15,CL,3702,4,5.5,U,2,-,-,-,-,0.1,1,1.4,0.08,0.047,-,-,-,-,-,-,B,34.7,-,-,-,-,0.5,1,1.6,0.08,0.036,-,-,-,-,-,-
HAR,KB49,344102,1342312,WT,1986,2,25,15:29,CL,3302,6,1,U,2,-,-,-,-,5.4,-,-,-,-,-,-,-,-,-,-,B,13.2,-,-,-,-,5.7,-,-,-,-,-,-,-,-,-,-
HAR,KB50,343642,1342312,WT,1986,2,25,15:00,CL,3702,6,3.5,U,2,-,-,-,-,0.9,1,1,0.24,0.068,-,-,-,-,-,-,B,36.7,-,-,-,-,1.8,2,1.3,0.18,0.047,-,-,-,-,-,-
HAR,KB51,343222,1342312,WT,1986,2,25,13:24,CL,3702,6,3,U,2,7,-,9.9,31.79,0.4,-,-,-,-,-,-,-,-,-,-,B,29.7,6.9,-,9.8,32.08,0.7,-,-,-,-,-,-,-,-,-,-
HAR,KB52,342802,1342312,WT,1986,2,25,10:50,CL,3802,5,3,U,2,6.9,8.1,9.2,-,0.5,1,0.7,0.13,0.063,-,-,-,-,-,-,B,32.5,6.9,8.1,9.1,-,1,1,0.8,0.17,0.042,-,-,-,-,-,-
HAR,KB60,344102,1344922,WT,1986,2,24,9:52,CL,3502,3,3.5,U,2,6.8,-,9.8,31.35,0.9,1,0.8,0.15,0.027,-,-,-,-,-,-,B,15.2,6.8,-,9.7,31.35,1.7,2,1,0.09,0.015,-,-,-,-,-,-
BS1,SD01,342445,1332539,WT,1986,2,27,13:35,UC,3106,2,2,U,2,6.6,-,10.2,32.7,1.3,-,-,-,-,-,-,-,-,-,-,B,5,6.5,-,10.2,32.7,1.2,-,-,-,-,-,-,-,-,-,-
BS1,SD02,342552,1332951,WT,1986,2,27,11:45,SN,3304,3,3.5,U,2,6.8,-,9.8,32.8,0.8,3,1.1,0.44,0.019,<0.005,<0.005,<0.01,0.009,-,-,B,13,6.8,-,9.6,32.9,0.8,5,1.7,0.47,0.019,<0.005,<0.005,<0.01,0.009,-,-
BS1,SD04,342552,1333505,WT,1986,2,27,11:05,CL,3106,3,1.9,U,2,6.7,-,9.7,32.6,1.3,-,-,-,-,-,-,-,-,-,-,B,9,6.7,-,9.6,32.8,1.5,-,-,-,-,-,-,-,-,-,-
BS1,SD07,343012,1333955,WT,1986,2,27,10:25,CL,2706,2.5,1.3,U,2,6.3,-,9.9,32.1,2.5,-,-,-,-,-,-,-,-,-,-,B,4,6.3,-,9.8,32.1,2.8,-,-,-,-,-,-,-,-,-,-
BS1,SD08,342552,1334019,WT,1986,2,27,9:45,UC,3304,1.5,1.7,U,2,6.7,-,9.5,32.8,2.6,14,1.6,0.01,0.032,<0.005,0.009,<0.01,0.014,-,-,B,4,6.7,-,9.8,32.9,3.2,13,1.4,0.04,0.028,<0.005,<0.005,0.02,0.011,-,-
BS1,SD11,342552,1334532,WT,1986,2,27,9:15,SN,3304,2,2.5,U,2,6.6,-,9.5,32.8,1.9,-,-,-,-,-,-,-,-,-,-,B,9,6.6,-,9.4,32.8,1.8,-,-,-,-,-,-,-,-,-,-
BS2,SD18,343432,1340628,WT,1986,2,26,10:35,CL,3106,4,1.3,U,2,6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,20,6,-,-,-,17,-,-,-,-,-,-,-,-,-,-
BS2,SD21,343852,1341142,WT,1986,2,26,14:05,CL,3304,6.5,2.7,U,2,-,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-,B,4,-,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-
BS2,SD22,343432,1341142,WT,1986,2,26,14:45,CL,3302,7.5,2.5,U,2,6.6,-,9.5,32.4,1.1,5,1.2,0.04,0.025,<0.005,0.029,0.01,0.014,-,-,B,19,6.3,-,9.4,32.5,8.6,-,2.8,0.19,0.057,<0.005,0.025,<0.01,0.013,-,-
