kai,datetime,hour,minute,suionn,DO,Sal,nissyaryou,kousuiryou,kousuiryou_1pre,kousuiryou_2pre,u,v,tyouryuu,Chl.a
HIU,2003/5/21,12,46,17.36,8.9,32.29,25.1,0.0,0.5,0.0,22.26,-24.55,33.13925315996122,2.0
HIU,2003/5/22,8,58,15.51,7.8,33.2,15.7,0.0,0.0,0.5,-18.82,16.95,25.327749603942312,1.0
HIU,2003/5/22,10,14,17.87,7.7,32.86,15.7,0.0,0.0,0.5,11.16,-7.51,13.45160585209067,0.2
HIU,2003/5/22,11,20,18.2,8.3,32.52,15.7,0.0,0.0,0.5,19.91,-21.35,29.19298888431947,0.6
HIU,2003/5/22,13,13,17.03,7.8,32.88,15.7,0.0,0.0,0.5,20.98,-23.33,31.37593504582772,0.3
HIU,2003/8/26,9,29,28.49,7.9,31.17,7.4,14.0,0.0,0.0,0.09,-2.86,2.8614157335137445,0.6
HIU,2003/8/26,10,38,29.02,7.7,31.05,7.4,14.0,0.0,0.0,-9.56,6.07,11.324243904120046,0.9
HIU,2003/8/26,11,51,29.21,8.2,31.04,7.4,14.0,0.0,0.0,-16.91,14.55,22.308083736618887,2.0
HIU,2003/8/26,12,59,28.33,8.3,31.1,7.4,14.0,0.0,0.0,-21.09,18.56,28.09380180751619,0.8
HIU,2003/8/27,8,56,24.78,6.2,31.91,15.4,0.0,14.0,0.0,12.84,-15.49,20.119783796055067,0.8
HIU,2003/8/27,10,2,26.61,7.0,31.54,15.4,0.0,14.0,0.0,1.42,-5.09,5.284363727072541,0.6
HIU,2003/8/27,11,12,27.66,7.6,31.32,15.4,0.0,14.0,0.0,-8.12,3.14,8.705974959761829,0.4
HIU,2003/8/27,13,16,26.53,7.1,31.6,15.4,0.0,14.0,0.0,-21.03,17.68,27.474411731645866,0.6
HIU,2003/10/21,9,25,21.79,8.0,31.4,2.3,19.5,0.0,0.0,-27.55,23.28,36.06883557865432,2.4
HIU,2003/10/21,10,40,22.2,6.8,31.7,2.3,19.5,0.0,0.0,-25.98,22.32,34.251172242713096,2.5
HIU,2003/10/21,11,58,22.33,6.5,31.79,2.3,19.5,0.0,0.0,-21.53,18.61,28.458267691481154,1.8
HIU,2003/10/21,13,11,22.28,7.2,31.64,2.3,19.5,0.0,0.0,3.55,-0.64,3.6072288532889054,1.5
HIU,2003/10/22,8,57,22.54,6.4,32.27,15.2,4.5,19.5,0.0,-13.36,8.75,15.970350653633126,1.0
HIU,2003/10/22,10,14,22.2,7.0,31.91,15.2,4.5,19.5,0.0,-22.93,20.08,30.479358589051703,2.0
HIU,2003/10/22,11,34,22.2,7.0,31.89,15.2,4.5,19.5,0.0,-20.77,18.69,27.941170340556603,3.2
HIU,2003/10/22,13,33,22.48,7.4,31.9,15.2,4.5,19.5,0.0,-4.51,5.45,7.074079445411961,1.5
HIU,2004/2/24,10,33,10.68,8.9,33.24,15.1,0.0,4.5,10.0,-4.99,5.94,7.757815414148497,4.7
HIU,2004/2/24,11,39,9.52,8.9,33.08,15.1,0.0,4.5,10.0,13.66,-10.8,17.413661303700607,0.9
HIU,2004/2/24,12,47,10.91,8.9,33.42,15.1,0.0,4.5,10.0,20.0,-23.44,30.81288042361506,0.5
HIU,2004/2/25,10,8,11.29,8.6,33.53,14.3,0.0,0.0,4.5,-13.6,12.66,18.580516677423155,1.2
HIU,2004/2/25,11,13,10.87,9.0,33.42,14.3,0.0,0.0,4.5,5.0,-0.81,5.065185090398968,1.2
HIU,2004/2/25,12,18,11.16,9.0,33.46,14.3,0.0,0.0,4.5,19.83,-18.78,27.311486594471567,1.0
HIU,2004/2/25,14,29,11.2,9.2,33.45,14.3,0.0,0.0,4.5,23.77,-25.74,35.03655947720895,1.7
HIU,2004/5/19,8,38,16.68,7.7,33.35,5.0,8.0,0.0,10.5,10.29,-6.35,12.091592120146958,0.9
HIU,2004/5/19,9,48,18.33,7.8,32.94,5.0,8.0,0.0,10.5,18.5,-19.74,27.05397567826215,0.3
HIU,2004/5/19,11,0,18.33,7.8,32.91,5.0,8.0,0.0,10.5,20.16,-22.48,30.19562882272864,0.2
HIU,2004/5/19,12,57,17.34,7.8,33.17,5.0,8.0,0.0,10.5,16.54,-18.64,24.92029694847154,1.1
HIU,2004/5/20,9,7,18.34,8.2,31.96,4.5,24.5,8.0,0.0,15.77,-12.66,20.22296961378323,1.5
HIU,2004/5/20,10,15,18.26,8.0,32.45,4.5,24.5,8.0,0.0,19.94,-22.58,30.12407674933789,2.8
HIU,2004/5/20,11,26,18.83,7.9,32.28,4.5,24.5,8.0,0.0,21.88,-24.53,32.87027989,1.5
HIU,2004/5/20,12,36,17.89,8.3,32.31,4.5,24.5,8.0,0.0,20.14,-22.57,30.249371894305508,1.0
HIU,2004/5/24,10,52,18.54,8.7,31.68,28.6,0.0,0.0,0.0,-7.13,7.72,10.50882010503558,0.1
HIU,2004/5/24,13,25,19.32,8.7,31.71,28.6,0.0,0.0,0.0,21.78,-24.59,32.848690993706285,0.1
HIU,2004/5/24,14,14,19.74,9.0,31.32,28.6,0.0,0.0,0.0,20.48,-22.86,30.69218141481638,0.1
HIU,2004/5/24,15,26,19.99,8.6,31.6,28.6,0.0,0.0,0.0,15.26,-17.44,23.173717871761536,0.1
HIU,2004/8/23,10,57,27.76,7.0,30.7,5.2,42.0,4.5,0.0,-25.69,22.47,34.130294461079586,0.09
HIU,2004/8/23,13,25,28.11,8.4,30.73,5.2,42.0,4.5,0.0,10.8,-5.8,12.258874336577565,0.03
HIU,2004/8/23,14,14,27.86,8.2,30.08,5.2,42.0,4.5,0.0,18.8,-19.92,27.390626133770656,0.08
HIU,2004/8/23,15,26,28.08,8.3,30.5,5.2,42.0,4.5,0.0,20.23,-23.73,31.18278050463108,0.07
HIU,2004/8/25,9,43,27.8,6.7,29.92,14.6,0.0,0.0,42.0,-15.4,11.9,19.462014284240983,0.8
HIU,2004/8/25,10,54,28.26,6.5,30.3,14.6,0.0,0.0,42.0,-22.84,19.28,29.889529939428623,1.8
